Timestep 	 x_error[2] 	 command torques[4]
0.324065	0.00109876 0.00064566	66.8699 37.1133 15.8761 4.60963
0.325066	 0.00110038 0.000645501	66.8697 37.1132 15.8761 4.60963
0.326065	 0.00110199 0.000645342	66.8695 37.1131  15.876 4.60963
0.327065	  0.0011036 0.000645182	66.8693  37.113  15.876 4.60963
0.328065	 0.00110519 0.000645023	66.8692 37.1129  15.876 4.60963
0.329065	 0.00110677 0.000644863	 66.869 37.1128  15.876 4.60963
0.330067	 0.00110818 0.000644719	66.8688 37.1127  15.876 4.60963
0.331065	 0.00110989 0.000644543	66.8686 37.1126 15.8759 4.60963
0.332119	 0.00111144 0.000644384	66.8684 37.1125 15.8759 4.60963
0.333071	 0.00111297 0.000644224	66.8683 37.1124 15.8759 4.60963
0.334123	0.00111435 0.00064408	66.8681 37.1123 15.8759 4.60963
0.335121	0.00111586 0.00064392	66.8679 37.1122 15.8759 4.60963
0.336078	0.00111737 0.00064376	66.8678 37.1122 15.8758 4.60963
0.337142	 0.00111886 0.000643601	66.8676 37.1121 15.8758 4.60963
0.33807	 0.00112035 0.000643441	66.8674  37.112 15.8758 4.60963
0.339071	 0.00112182 0.000643281	66.8673 37.1119 15.8758 4.60963
0.340078	 0.00112328 0.000643122	66.8671 37.1118 15.8758 4.60963
0.341126	 0.00112473 0.000642962	66.8669 37.1117 15.8758 4.60964
0.342127	 0.00112618 0.000642803	66.8668 37.1116 15.8758 4.60964
0.343122	 0.00112761 0.000642644	66.8666 37.1116 15.8757 4.60964
0.344125	 0.00112903 0.000642485	66.8665 37.1115 15.8757 4.60964
0.345125	 0.00113044 0.000642326	66.8663 37.1114 15.8757 4.60964
0.346078	 0.00113184 0.000642167	66.8662 37.1113 15.8757 4.60964
0.347121	 0.00113323 0.000642009	 66.866 37.1112 15.8757 4.60964
0.348068	 0.00113462 0.000641851	66.8659 37.1112 15.8757 4.60965
0.349065	 0.00113599 0.000641692	66.8659 37.1112 15.8757 4.60965
0.350066	 0.00113748 0.000641519	66.8658 37.1111 15.8757 4.60965
0.351124	  0.0011387 0.000641377	66.8655 37.1109 15.8756 4.60965
0.352071	 0.00114004 0.000641219	66.8653 37.1109 15.8756 4.60965
0.353126	 0.00114138 0.000641062	66.8653 37.1109 15.8756 4.60965
0.354084	  0.0011427 0.000640905	66.8652 37.1108 15.8756 4.60966
0.355121	 0.00114401 0.000640749	66.8649 37.1107 15.8756 4.60966
0.356078	 0.00114532 0.000640592	66.8649 37.1107 15.8756 4.60966
0.35713	 0.00114661 0.000640436	66.8647 37.1105 15.8756 4.60967
0.358123	  0.0011479 0.000640281	66.8646 37.1105 15.8756 4.60967
0.359121	 0.00114917 0.000640125	66.8644 37.1104 15.8756 4.60967
0.360124	0.00115044 0.00063997	66.8643 37.1103 15.8756 4.60967
0.361127	  0.0011517 0.000639815	66.8643 37.1103 15.8756 4.60967
0.362084	 0.00115294 0.000639661	66.8642 37.1103 15.8756 4.60968
0.363121	 0.00115418 0.000639507	 66.864 37.1101 15.8756 4.60968
0.364123	 0.00115541 0.000639353	66.8639 37.1101 15.8755 4.60969
0.365128	0.00115664  0.0006392	66.8637   37.11 15.8755 4.60969
0.36612	 0.00115785 0.000639047	66.8636   37.11 15.8755 4.60969
